"scalematesUrl"," brand","brandCatno","name","scale","description","boxartUrl","year"
"/kits/afv-club-af35s88-cm-33-tifv--1217553","AFV Club","AF35S88","CM-33 TIFVPre-Serial Production","35","Changed parts","https://www.scalemates.com/products/img/5/5/3/1217553-23814-74","2019"
"/kits/afv-club-af35308-centurion-mki--1217551","AFV Club","AF35308","Centurion Mk.I","35","Changed parts","https://www.scalemates.com/products/img/5/5/1/1217551-23814-89","2019"
"/kits/afv-club-fv35108-m108-105mm--1217545","AFV Club","FV35108","M108 105mmHowitzer","35","Changed parts","https://www.scalemates.com/products/img/5/4/5/1217545-23814-44","2019"
"/kits/wip3d-32001-wip3d-schiebel-s-100-camcopter--1217539","WIP3D","32001-WIP3D","SCHIEBEL S-100 CAMCOPTER","32","New tool","https://www.scalemates.com/products/img/5/3/9/1217539-51625-92","2018"
"/kits/thunder-model-35904-flat-wagon-ssyl--1217536","Thunder Model","35904","Flat Wagon Ssyl","35","New tool","https://www.scalemates.com/products/img/5/3/6/1217536-23814-16","2019"
"/kits/afv-club-af35291-m113a1-lrv--1217521","AFV Club","AF35291","M113A1 LRVin Vietnam War","35","Changed parts","https://www.scalemates.com/products/img/5/2/1/1217521-23814-76","2019"
"/kits/ajm-models-700-016-uss-currituck--1217500","AJM Models","700-016","USS Currituck","700","New tool","https://www.scalemates.com/products/img/5/0/0/1217500-12140-89","2019"
"/kits/defmodel-dw35112-us-m142-himars-sagged-wheel-set--1217542","Def.Model","DW35112","US M142 HIMARS Sagged Wheel set","35","New tool","https://www.scalemates.com/products/img/5/4/2/1217542-35251-56","2019"
"/kits/dn-models-48-827-061-f-35c-canopy-wheels-and-eots-paint-mask-set-kitty-hawk-lightning-ii--1217564","DN Models","48/827-061","F-35C Canopy, Wheels & EOTS Paint Mask Set for Kitty Hawk Lightning IIfor Kitty Hawk #KH80132","48","New tool","https://www.scalemates.com/products/img/5/6/4/1217564-16079-96","2019"
"/kits/abc-11-2019-s89-spitfire-mkixe--1217492","abc","11/2019","S.89 Spitfire Mk.IXEMagazine for kids with bonus plastic model","144","Changed decals","https://www.scalemates.com/products/img/4/9/2/1217492-11991-78","2019"
"/kits/wolfpack-wp17204-pby5-catalina-pacific-theater--1217465","Wolfpack","WP17204","PBY5 Catalina 'Pacific Theater'Premium Edition kit","72","Changed decals","https://www.scalemates.com/products/img/4/6/5/1217465-33840-76","2019"
"/kits/miniart-40002-focke-wulf-triebfluegel--1217452","MiniArt","40002","Focke-Wulf TriebflügelInterceptor","35","New tool","https://www.scalemates.com/products/img/4/5/2/1217452-51704-95","2019"
"/kits/amusing-hobby-35a025-arl44-french-heavy-tank--1217401","Amusing Hobby","35A025","ARL44 French Heavy Tank","35","New tool","https://www.scalemates.com/products/img/4/0/1/1217401-13385-83","2019"
"/kits/glencoe-models-05405-roman-chariot--1217398","Glencoe Models","05405","Roman Chariot","48","Changed box","https://www.scalemates.com/products/img/3/9/8/1217398-27767-20","2019"
"/kits/fascinations-mms181-delorean-special-brushed-stainless-steel-body--1217360","Fascinations","MMS181","DeLorean (Special Brushed Stainless Steel Body)Metal Earth","none","New tool","https://www.scalemates.com/products/img/3/6/0/1217360-11453-13","2018"
"/kits/rye-field-model-rm-5027-tiger-i-transport-mode--1217397","Rye Field Model","RM-5027","Tiger I Transport Mode","35","New tool","https://www.scalemates.com/products/img/3/9/7/1217397-27767-76","2019"
"/kits/tamiya-12688-german-hummel-metal-gun-barrel--1217395","Tamiya","12688","German Hummel Metal Gun Barrel","35","New tool","https://www.scalemates.com/products/img/3/9/5/1217395-28685-19","2019"
"/kits/fc-modeltips-35562-m50-super-sherman-rear-hull-box--1217366","FC Modeltips","35562","M50 Super sherman rear hull box","35","New tool","https://www.scalemates.com/products/img/3/6/6/1217366-35519-97","2019"
"/kits/fc-modeltips-35557-idf-hummer-bumper--1217365","FC Modeltips","35557","IDF HUMMER bumper","35","New tool","https://www.scalemates.com/products/img/3/6/5/1217365-35519-78","2019"
"/kits/fc-modeltips-35556-spanish-hummer-bumper--1217364","FC Modeltips","35556","Spanish HUMMER bumper","35","New tool","https://www.scalemates.com/products/img/3/6/4/1217364-35519-33","2019"
"/kits/fc-modeltips-35551-us-jerrycan-holder--1217363","FC Modeltips","35551","US jerrycan holder","35","New tool","https://www.scalemates.com/products/img/3/6/3/1217363-35519-96","2019"
"/kits/fc-modeltips-35543-m551-sheridan-vietnam-rear-turret-basket--1217358","FC Modeltips","35543","M551 Sheridan Vietnam rear turret basket","35","New tool","https://www.scalemates.com/products/img/3/5/8/1217358-35519-44","2019"
"/kits/fc-modeltips-35528-chile-super-chaffee--1217356","FC Modeltips","35528","Chile Super Chaffee","35","New tool","https://www.scalemates.com/products/img/3/5/6/1217356-35519-10","2019"
"/kits/model-43-md388-citroen-ds3-wrc-fr-906-rj-qpowerq--1217458","Model 43","MD388","Citroën DS3 WRC (FR 906 RJ) "QPOWERQWinner MM´19 #3 Pedersoli/Tomasi","43","none","https://www.scalemates.com/products/img/4/5/8/1217458-20545-25","2019"
"/kits/model-43-md387-skoda-fabia-r5-nr-s-044-metior--1217456","Model 43","MD387","Škoda Fabia R5 (NR S 044) "METIOR"Winner San Remo´19 #4 Breen/Nagle","43","none","https://www.scalemates.com/products/img/4/5/6/1217456-20545-32","2019"
"/kits/rallye-miniature-1864-citroen-c3-r5-ew-198-bf-total--1217394","Rallye-Miniature","1864","Citroën C3 R5 (EW-198-BF) "TOTAL"Lyon-Charbonniers´19 #6 Rossel/Fulcrand","43","none","https://www.scalemates.com/products/img/3/9/4/1217394-20545-48","2019"
"/kits/decalcas-dcl-dec034-lancia-delta-s4--1217367","Decalcas","DCL-DEC034","Lancia Delta S4","24","New tool","https://www.scalemates.com/products/img/3/6/7/1217367-15429-46","2019"
"/kits/wip3d-35001-captain-1st-battalion-7th-division-royal-welsh-fusiliers-italian-frit-piave-river-1918--1217399","WIP3D","35001","Captain 1st Battalion, 7th Division, Royal Welsh Fusiliers, Italian Frit, Piave river 1918","35","New tool","https://www.scalemates.com/products/img/3/9/9/1217399-51625-28","2018"
"/kits/dieselkits-dk35-018-brutus-wolfhound--1217378","Dieselkits","DK35-018","Brutus - the WolfhoundSteampunk Dog","35","New tool","https://www.scalemates.com/products/img/3/7/8/1217378-50924-20","2019"
"/kits/dieselkits-dk24-017-brutus-wolfhound--1217377","Dieselkits","DK24-017","Brutus - the WolfhoundSteampunk Dog","24","New tool","https://www.scalemates.com/products/img/3/7/7/1217377-50924-36","2019"
"/kits/dieselkits-dk35-016-fiona-fly--1217373","Dieselkits","DK35-016","Fiona FlySteampunk Girl for Bulldog","35","New tool","https://www.scalemates.com/products/img/3/7/3/1217373-50924-29","2019"
"/kits/dieselkits-dk35-015-susan-slick--1217371","Dieselkits","DK35-015","Susan SlickSteampunk Girl for Bulldog","35","New tool","https://www.scalemates.com/products/img/3/7/1/1217371-50924-88","2019"
"/kits/dieselkits-dk35-014-rough-john--1217369","Dieselkits","DK35-014","Rough JohnSteampunk Guy","35","New tool","https://www.scalemates.com/products/img/3/6/9/1217369-50924-82","2019"
"/kits/dieselkits-dk35-013-dogmother--1217368","Dieselkits","DK35-013","DogmotherSteampunk Girl","35","New tool","https://www.scalemates.com/products/img/3/6/8/1217368-50924-40","2019"
"/kits/fc-modeltips-35549-kids-set-4--1217362","FC Modeltips","35549","Kids set 4","35","New tool","https://www.scalemates.com/products/img/3/6/2/1217362-35519-57","2019"
"/kits/fc-modeltips-35547-kids-set-3--1217361","FC Modeltips","35547","Kids set 3","35","New tool","https://www.scalemates.com/products/img/3/6/1/1217361-35519-32","2019"
"/kits/fc-modeltips-35546-kids-set-2--1217359","FC Modeltips","35546","Kids set 2","35","New tool","https://www.scalemates.com/products/img/3/5/9/1217359-35519-79","2019"
"/kits/kitty-hawk-kh801-sukhoi-su-25-frogfoot--1217305","Kitty Hawk","KH801??","Sukhoi Su-25 Frogfoot","48","New tool","https://www.scalemates.com/products/img/3/0/5/1217305-16625-17","2020"
"/kits/kitty-hawk-kh801xx-sukhoi-su-57-frazor--1217304","Kitty Hawk","KH801XX","Sukhoi Su-57 Frazor","48","New tool","https://www.scalemates.com/products/img/3/0/4/1217304-16625-15","2020"
"/kits/panda-hobby-ph-35052-m1240-m-atv-with-spark-mine-roller--1217284","Panda Hobby","PH-35052","M1240 M-ATV with SPARK Mine Roller","35","Changed parts","https://www.scalemates.com/products/img/2/8/4/1217284-23814-97","2019"
"/kits/glencoe-models-05402-covered-wagon--1217270","Glencoe Models","05402","Covered Wagon","48","Changed box","https://www.scalemates.com/products/img/2/7/0/1217270-27767-13","2019"
"/kits/wip3d-35003-carrello-portacarri-fiat3000-l3--1217238","WIP3D","35003","CARRELLO PORTACARRI FIAT3000/L3","35","New tool","https://www.scalemates.com/products/img/2/3/8/1217238-51625-41","2018"
