"scalematesUrl","brand","brandCatno","name","scale","description","boxartUrl","year"
"https://www.scalemates.com/kits/mikromir-zzz-mcdonnell-douglas-kc-10-extender--1218589","MikroMir","zzz","McDonnell Douglas KC-10 Extender","144","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218589-11761-92","2019"
"https://www.scalemates.com/kits/hasegawa-20401-toyota-celica-turbo-4wd--1218588","Hasegawa","20401","Toyota Celica Turbo 4WD1993 Monte Carlo Rally","24","Changed box","https://www.scalemates.com./New releases - Scalemates_files/1218588-27767-20","2019"
"https://www.scalemates.com/kits/eduard-r0018-tempest-mkv--1218587","Eduard","R0018","Tempest Mk.VRoyal Class","48","Changed parts","https://www.scalemates.com./New releases - Scalemates_files/1218587-32441-38","2019"
"https://www.scalemates.com/kits/eduard-7074-f6f-3--1218585","Eduard","7074","F6F-3ProfiPack","72","Changed decals","https://www.scalemates.com./New releases - Scalemates_files/1218585-32441-45","2019"
"https://www.scalemates.com/kits/wip3d-48001-wip3d-trattore-fresia-f40-italian-navy--1218583","WIP3D","48001-WIP3D","TRATTORE FRESIA F40 Italian Navy","48","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218583-51625-14","2018"
"https://www.scalemates.com/kits/modelist-303525-sd-kfz-234-2--1218581","Modelist (Моделист)","303525","Sd. Kfz. 234/2","35","Model set","https://www.scalemates.com./New releases - Scalemates_files/1218581-51855-96","2018"
"https://www.scalemates.com/kits/dieselkits-dk35-011-bulldog-with-susan-slick--1218569","Dieselkits","DK35-011","The Bulldog with Susan SlickSteampunk Vehicle","35","Changed parts","https://www.scalemates.com./New releases - Scalemates_files/1218569-50924-76","2019"
"https://www.scalemates.com/kits/dieselkits-dk35-010-bulldog-with-fiona-fly--1218568","Dieselkits","DK35-010","The Bulldog with Fiona FlySteampunk Vehicle","35","Changed parts","https://www.scalemates.com./New releases - Scalemates_files/1218568-50924-59","2019"
"https://www.scalemates.com/kits/dieselkits-dk24-010-bulldog--1218560","Dieselkits","DK24-010","The Bulldogwith Dogmother + Rough John","24","Changed parts","https://www.scalemates.com./New releases - Scalemates_files/1218560-50924-17","2019"
"https://www.scalemates.com/kits/hasegawa-02306-f-35-lightning-ii-typ-b-beast-mode--1218559","Hasegawa","02306","F-35 Lightning II (typ B) 'Beast mode'","72","Changed parts","https://www.scalemates.com./New releases - Scalemates_files/1218559-15610-54","2019"
"https://www.scalemates.com/kits/hasegawa-sp418-jet-vtol-with-1-24-figure--1218557","Hasegawa","SP418","JET VTOL with 1/24 figure","72","Changed parts","https://www.scalemates.com./New releases - Scalemates_files/1218557-11991-67","2019"
"https://www.scalemates.com/kits/lem-kits-32020-la-11-fang--1218548","LEM Kits","32020","La-11 'Fang'","32","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218548-26278-53","2019"
"https://www.scalemates.com/kits/beemax-model-kits-e24019-bmw-m3-e30-1992-sport-evolution-ii-detai-up-parts--1218586","Beemax Model Kits","E24019 (106310)","BMW M3 E30 1992 Sport Evolution II Detai Up Parts","24","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218586-27767-61","2019"
"https://www.scalemates.com/kits/scaleworx-sw72-39-cheetah-c--1218541","ScaleWorx","SW72-39","Cheetah Cconversion set for the AMK Kfir C2/C7","72","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218541-33840-80","2019"
"https://www.scalemates.com/kits/dieselkits-dk24-015-fiona-fly--1218567","Dieselkits","DK24-015","Fiona FlySteampunk Girl for Bulldog","24","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218567-50924-55","2019"
"https://www.scalemates.com/kits/dieselkits-dk24-014-susan-slick--1218566","Dieselkits","DK24-014","Susan SlickSteampunk Girl for Bulldog","24","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218566-50924-82","2019"
"https://www.scalemates.com/kits/dieselkits-dk24-013-cindy-screw--1218565","Dieselkits","DK24-013","Cindy ScrewSteampunk Girl for Bulldog","24","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218565-50924-41","2019"
"https://www.scalemates.com/kits/dieselkits-dk24-012-rough-john--1218563","Dieselkits","DK24-012","Rough JohnSteampunk Guy","24","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218563-50924-43","2019"
"https://www.scalemates.com/kits/dieselkits-dk24-011-dogmother--1218562","Dieselkits","DK24-011","DogmotherSteampunk Girl for Bulldog","24","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218562-50924-34","2019"
"https://www.scalemates.com/kits/ddp-010-1964-lola-mk-vi-john-mecom-sebring--1218457","DDP","010","1964 Lola MK VI John Mecom Sebring","24","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218457-11456-21","2019"
"https://www.scalemates.com/kits/kaiyodo-gnenjoe--1218386","Kaiyodo","","G.Nen.Joe","35","Changed decals","https://www.scalemates.com./New releases - Scalemates_files/1218386-20006-20","2019"
"https://www.scalemates.com/kits/masters-military-ins-taragiri--1218329","Masters of Military","","INS Taragiri","700","New tool","https://www.scalemates.com./New releases - Scalemates_files/nt","2017"
"https://www.scalemates.com/kits/fujimi-141794-honda-super-cub-110--1218316","Fujimi","141794 (Next 1)","Honda Super Cub 110(Urbane Denim Blue Metallic)","12","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218316-24595-83","2019"
"https://www.scalemates.com/kits/monochrome-mct917s-jgsdf-1-2t-truck-jgsdf-infantry-cqb-4--1218315","Monochrome","MCT917S","JGSDF 1/2t Truck / JGSDF Infantry CQB (4)(w/Samawah Decal)","35","Model set","https://www.scalemates.com./New releases - Scalemates_files/1218315-24595-79","2019"
"https://www.scalemates.com/kits/fugu-garage-1-triangle-tr968-18-19-width-13mm--1218354","Fugu Garage","1","Triangle TR968 18-19' Width 13mm","24","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218354-51889-56","2017"
"https://www.scalemates.com/kits/microlab-scale-models-zagato43-250tr-and-58-ferrari-250tr-58-wood-steering-wheel-mfh-kits--1218488","Microlab Scale Models / Zagato43","250TR & 58","Ferrari 250TR - 58 Wood Steering Wheel for MFH kitsfor MFH Ferrari 315S/335S as well","12","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218488-11598-16","2019"
"https://www.scalemates.com/kits/aber-35-l-231-10-5cm-kwk-l-70-barrel-with-double-baffle-muzzle-brake-german-pzkpfwvii-loewe-vk-7001--1218487","Aber","35 L-231","10,5cm Kw.K. L/70 Barrel with double baffle muzzle brake for German Pz.Kpfw.VII 'Löwe' (VK 70.01)","35","New tool","https://www.scalemates.com./New releases - Scalemates_files/183-10000-72","2019"
"https://www.scalemates.com/kits/retrowings-rw44125-ef-111a-raven-conversion-kit--1218408","RetroWings","RW44125","EF-111A Raven conversion kit","144","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218408-20365-79","2018"
"https://www.scalemates.com/kits/arkona-miniatures-amb35001-1-mikhail-koshkin--1218479","Arkona Miniatures","AMB35001-1","Mikhail KoshkinThe chief designer of the T-34 medium tank","35","Changed box","https://www.scalemates.com./New releases - Scalemates_files/1218479-51902-79","2019"
"https://www.scalemates.com/kits/arkona-miniatures-amb35001-mikhail-koshkin--1218473","Arkona Miniatures","AMB35001","Mikhail KoshkinThe chief designer of the T-34 medium tank. Wood box.","35","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218473-51902-27","2019"
"https://www.scalemates.com/kits/arkona-miniatures-ar35-001-mikhail-kalashnikov--1218467","Arkona Miniatures","AR35-001","Mikhail KalashnikovGreat russian armourer. Wood box","35","Changed box","https://www.scalemates.com./New releases - Scalemates_files/1218467-51902-53","2019"
"https://www.scalemates.com/kits/arkona-miniatures-ar35-001-1-mikhail-kalashnikov--1218464","Arkona Miniatures","AR35-001-1","Mikhail KalashnikovGreat russian armourer","35","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218464-51902-52","2018"
"https://www.scalemates.com/kits/rc-berg-casper-new-face-ver--1218343","R.C. Berg","","Casper (New face ver.)Color Resin Cast Kit","8","Changed parts","https://www.scalemates.com./New releases - Scalemates_files/1218343-27767-90","2017"
"https://www.scalemates.com/kits/eduard-tba-douglas-a-4e-f-skyhawk--1218261","Eduard","TBA","Douglas A-4E/F Skyhawk","144","Changed ???","https://www.scalemates.com./New releases - Scalemates_files/81-10000-14","2019"
"https://www.scalemates.com/kits/eduard-tba-vought-f-8e-crusader--1218259","Eduard","TBA","Vought F-8E Crusader","144","Changed ???","https://www.scalemates.com./New releases - Scalemates_files/81-10000-14","2019"
"https://www.scalemates.com/kits/bum-5086-republican-i-153--1218256","Bum","5086","Republican I-153Guerra Civil Española","72","Model set","https://www.scalemates.com./New releases - Scalemates_files/1218256-17841-51","2017"
"https://www.scalemates.com/kits/black-cat-models-350004-uss-farragut-dd-348--1218182","Black Cat Models","350004","USS Farragut (DD-348)","350","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218182-11788-26","2019"
"https://www.scalemates.com/kits/black-cat-models-350003-landing-craft-tank-lct-6--1218180","Black Cat Models","350003","Landing Craft Tank LCT(6)","350","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218180-11788-85","2019"
"https://www.scalemates.com/kits/black-cat-models-350002-landing-craft-tank-lct-5--1218178","Black Cat Models","350002","Landing Craft Tank LCT(5)","350","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218178-11788-11","2019"
"https://www.scalemates.com/kits/dora-wings-dw48016-percival-proctor-mkiii-civil--1218169","Dora Wings","DW48016","Percival Proctor MKIII (Civil)","48","","https://www.scalemates.com./New releases - Scalemates_files/1218169-33840-84","2019"
"https://www.scalemates.com/kits/model-monkey-144-ss298-uss-lionfish-ss-298-fairwater-1945--1218257","Model Monkey","144-SS298","USS Lionfish SS-298 Fairwater, 1945helps build a Balao class submarine from a Gato class kit.","144","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218257-29191-15","2019"
"https://www.scalemates.com/kits/rallye-miniature-1866-renault-clio-rs-r3t--1218187","Rallye-Miniature","1866","Renault Clio RS R3TLyon-Charbonnières´19 #54 Erickson-Chang/Gelsomino","43","","https://www.scalemates.com./New releases - Scalemates_files/1218187-20545-85","2019"
"https://www.scalemates.com/kits/bum-172191-desperate-survival-on-marshall-islands-at-ww2--1218277","Bum","172191","Desperate Survival on the Marshall Islands at WW2BigResin Diorama with destroyed FU-Corsair plane & Japanese Inf.","72","","https://www.scalemates.com./New releases - Scalemates_files/1218277-17841-58","2017"
"https://www.scalemates.com/kits/kav-models-kav-m72-034-paint-mask-1070-w-d9r-bulldozer--1218248","KAV models","KAV M72 034","Paint mask for М1070 w/ D9R Bulldozerbonus mirror","72","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218248-18651-45","2019"
"https://www.scalemates.com/kits/dn-models-48-827-062-ram-panels-paint-masks-us-navy-f-35c-lightning-ii--1218247","DN Models","48/827-062","RAM Panels Paint Masks for US NAVY F-35C Lightning IIfor Kitty Hawk #KH80132","48","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218247-16079-60","2019"
"https://www.scalemates.com/kits/kav-models-kav-m72-033-paint-mask-1070--1218246","KAV models","KAV M72 033","Paint mask for М1070bonus mirror","72","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218246-18651-96","2019"
"https://www.scalemates.com/kits/kav-models-kav-m72-031-paint-mask-gaz-69--1218241","KAV models","KAV M72 031","Paint mask for GaZ-69External & Internal","72","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218241-18651-24","2019"
"https://www.scalemates.com/kits/kav-models-kav-m72-030-paint-mask-maz-537-double-takom--1218238","KAV models","KAV M72 030","Paint mask for Maz-537 Double (Takom)bonus mirror","72","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218238-18651-41","2019"
"https://www.scalemates.com/kits/kav-models-kav-m72-029-paint-mask-maz-537-takom--1218234","KAV models","KAV M72 029","Paint mask for Maz-537 (Takom)","72","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218234-18651-87","2019"
"https://www.scalemates.com/kits/kav-models-kav-m72-028-paint-mask-mig-25--1218233","KAV models","KAV M72 028","Paint mask for MiG-25","72","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218233-18651-10","2019"
"https://www.scalemates.com/kits/kav-models-kav-m72-027-paint-mask-wheels-14-t-15-armata--1218232","KAV models","KAV M72 027","Paint mask for Wheels Т-14, T-15 Armata","72","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218232-18651-40","2019"
"https://www.scalemates.com/kits/kav-models-kav-m72-026-paint-mask-wheels-90-bmpt--1218231","KAV models","KAV M72 026","Paint mask for Wheels Т-90, BMPT","72","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218231-18651-47","2019"
"https://www.scalemates.com/kits/kav-models-kav-m72-025-paint-mask-su-27ub-su-30sm--1218228","KAV models","KAV M72 025","Paint mask for Su-27UB/Su-30SM","72","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218228-18651-65","2019"
"https://www.scalemates.com/kits/kav-models-kav-m43-015-paint-mask-zil-157-avd-1-43--1218227","KAV models","KAV M43 015","Paint mask for ZiL-157 (AVD) 1/43bonus mirror & reflectors","43","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218227-18651-30","2019"
"https://www.scalemates.com/kits/kav-models-kav-m43-014-paint-mask-gaz-66-kung-avd-1-43--1218226","KAV models","KAV M43 014","Paint mask for GaZ-66 Kung (AVD) 1/43bonus mirror & reflectors","43","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218226-18651-86","2019"
"https://www.scalemates.com/kits/kav-models-kav-m43-013-paint-mask-gaz-66-nzas-3964-avd-1-43--1218224","KAV models","KAV M43 013","Paint mask for GaZ-66 NZAS-3964 (AVD) 1/43bonus mirror & reflectors","43","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218224-18651-72","2019"
"https://www.scalemates.com/kits/kav-models-kav-m43-011-paint-mask-ural-4320-375-avd-1-43--1218218","KAV models","KAV M43 011","Paint mask for Ural-4320/375 (AVD) 1/43bonus mirror","43","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218218-18651-61","2019"
"https://www.scalemates.com/kits/kav-models-kav-m43-010-paint-mask-zil-4333-avd-1-43--1218216","KAV models","KAV M43 010","Paint mask for ZiL-4333 (AVD) 1/43bonus mirror","43","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218216-18651-73","2019"
"https://www.scalemates.com/kits/kav-models-kav-m43-009-paint-mask-kraz-260-avd-1-43--1218211","KAV models","KAV M43 009","Paint mask for KrAZ-260 (AVD) 1/43bonus mirror & reflectors","43","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218211-18651-46","2018"
"https://www.scalemates.com/kits/kav-models-kav-m43-008-paint-mask-kraz-214-255-256-258-avd-1-43--1218207","KAV models","KAV M43 008","Paint mask for KrAZ-214/255/256/258 (AVD) 1/43bonus mirror","43","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218207-18651-83","2018"
"https://www.scalemates.com/kits/kav-models-kav-m43-007-paint-mask-maz-200-avd-1-43--1218205","KAV models","KAV M43 007","Paint mask for MAZ-200 (AVD) 1/43","43","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218205-18651-69","2018"
"https://www.scalemates.com/kits/kav-models-kav-m144-016-paint-mask-c-133--1218204","KAV models","KAV M144 016","Paint mask for C-133","144","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218204-18651-56","2019"
"https://www.scalemates.com/kits/kav-models-kav-m35-077-paint-mask-wot-6--1218202","KAV models","KAV M35 077","Paint mask for W.O.T. 6bonus mirror","35","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218202-18651-80","2019"
"https://www.scalemates.com/kits/kav-models-kav-m35-076-paint-mask-wheels-14-t-15-armata--1218201","KAV models","KAV M35 076","Paint mask for Wheels Т-14, T-15 Armata","35","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218201-18651-55","2018"
"https://www.scalemates.com/kits/kav-models-kav-m35-075-paint-mask-khd-s-a3000-icm--1218199","KAV models","KAV M35 075","Paint mask for KHD-S/A3000 (ICM)bonus reflector","35","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218199-18651-38","2018"
"https://www.scalemates.com/kits/airfix-a08017a-boeing-b-17g-flying-fortress--1218132","Airfix","A08017A","Boeing B-17G Flying Fortress","72","Changed decals","https://www.scalemates.com./New releases - Scalemates_files/1218132-22112-24","2019"
